Date,Scheme Name,ISIN,NAV
2015-10-09,Edelweiss Large Cap Fund - Regular Plan - Growth Option,INF754K01046,25.36
2015-10-09,HDFC Large Cap Fund - Growth Option - Regular Plan,INF179K01BE2,332.412
2015-10-09,HSBC Large Cap Fund - Regular Growth,INF336L01016,145.5763
2015-10-09,JM Large Cap Fund (Regular) - Growth Option,INF192K01601,54.2193
2015-10-09,L&T India Large Cap Fund - Regular Plan - Growth,INF677K01155,20.53
2015-10-09,LIC MF Large Cap Fund-Regular Plan-Growth,INF767K01105,20.2865
2015-10-09,SBI Large Cap FUND-REGULAR PLAN GROWTH,INF200K01180,28.2174
2015-10-09,Tata Large Cap Fund -Regular Plan - Growth Option,INF277K01931,162.9679
2015-10-09,Taurus Large Cap Fund - Regular Plan - Growth,INF044D01773,62.19
2015-10-09,UTI Large Cap Fund - Regular Plan - Growth Option,INF789F01976,89.6838
2015-10-12,Axis Large Cap Fund - Regular Plan - Growth,INF846K01164,19.1
2015-10-12,BANDHAN Large Cap Fund - Regular Plan - Growth,INF194K01516,23.0727
2015-10-12,CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - GROWTH OPTION,INF760K01AR3,17.27
2015-10-12,DSP Large Cap Fund - Regular Plan - Growth,INF740K01243,152.791
2015-10-12,Edelweiss Large Cap Fund - Regular Plan - Growth Option,INF754K01046,25.23
2015-10-12,HDFC Large Cap Fund - Growth Option - Regular Plan,INF179K01BE2,331.22
2015-10-12,HSBC Large Cap Fund - Regular Growth,INF336L01016,145.2068
2015-10-12,JM Large Cap Fund (Regular) - Growth Option,INF192K01601,53.868
2015-10-12,L&T India Large Cap Fund - Regular Plan - Growth,INF677K01155,20.449
2015-10-12,LIC MF Large Cap Fund-Regular Plan-Growth,INF767K01105,20.2064
2015-10-12,SBI Large Cap FUND-REGULAR PLAN GROWTH,INF200K01180,28.1108
2015-10-12,Tata Large Cap Fund -Regular Plan - Growth Option,INF277K01931,162.6138
2015-10-12,Taurus Large Cap Fund - Regular Plan - Growth,INF044D01773,62.0
2015-10-12,UTI Large Cap Fund - Regular Plan - Growth Option,INF789F01976,89.2191
2015-10-13,Axis Large Cap Fund - Regular Plan - Growth,INF846K01164,19.02
2015-10-13,BANDHAN Large Cap Fund - Regular Plan - Growth,INF194K01516,23.0181
2015-10-13,CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - GROWTH OPTION,INF760K01AR3,17.24
2015-10-13,DSP Large Cap Fund - Regular Plan - Growth,INF740K01243,152.644
2015-10-13,Edelweiss Large Cap Fund - Regular Plan - Growth Option,INF754K01046,25.18
2015-10-13,HDFC Large Cap Fund - Growth Option - Regular Plan,INF179K01BE2,330.63
2015-10-13,HSBC Large Cap Fund - Regular Growth,INF336L01016,145.1034
2015-10-13,JM Large Cap Fund (Regular) - Growth Option,INF192K01601,53.8122
2015-10-13,L&T India Large Cap Fund - Regular Plan - Growth,INF677K01155,20.393
2015-10-13,LIC MF Large Cap Fund-Regular Plan-Growth,INF767K01105,20.1714
2015-10-13,SBI Large Cap FUND-REGULAR PLAN GROWTH,INF200K01180,28.1077
2015-10-13,Tata Large Cap Fund -Regular Plan - Growth Option,INF277K01931,162.2311
2015-10-13,Taurus Large Cap Fund - Regular Plan - Growth,INF044D01773,61.99
2015-10-13,UTI Large Cap Fund - Regular Plan - Growth Option,INF789F01976,89.1391
2015-10-14,Axis Large Cap Fund - Regular Plan - Growth,INF846K01164,18.95
2015-10-14,BANDHAN Large Cap Fund - Regular Plan - Growth,INF194K01516,22.9416
2015-10-14,CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - GROWTH OPTION,INF760K01AR3,17.22
2015-10-14,DSP Large Cap Fund - Regular Plan - Growth,INF740K01243,151.962
2015-10-14,Edelweiss Large Cap Fund - Regular Plan - Growth Option,INF754K01046,25.14
2015-10-14,HDFC Large Cap Fund - Growth Option - Regular Plan,INF179K01BE2,329.61
2015-10-14,HSBC Large Cap Fund - Regular Growth,INF336L01016,144.5311
2015-10-14,JM Large Cap Fund (Regular) - Growth Option,INF192K01601,53.6541
2015-10-14,L&T India Large Cap Fund - Regular Plan - Growth,INF677K01155,20.354
2015-10-14,LIC MF Large Cap Fund-Regular Plan-Growth,INF767K01105,20.1426
2015-10-14,SBI Large Cap FUND-REGULAR PLAN GROWTH,INF200K01180,28.0504
2015-10-14,Tata Large Cap Fund -Regular Plan - Growth Option,INF277K01931,161.8997
2015-10-14,Taurus Large Cap Fund - Regular Plan - Growth,INF044D01773,61.81
2015-10-14,UTI Large Cap Fund - Regular Plan - Growth Option,INF789F01976,88.8609
2015-10-15,Axis Large Cap Fund - Regular Plan - Growth,INF846K01164,19.13
2015-10-15,BANDHAN Large Cap Fund - Regular Plan - Growth,INF194K01516,23.215
2015-10-15,CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - GROWTH OPTION,INF760K01AR3,17.35
2015-10-15,DSP Large Cap Fund - Regular Plan - Growth,INF740K01243,154.049
2015-10-15,Edelweiss Large Cap Fund - Regular Plan - Growth Option,INF754K01046,25.23
2015-10-15,HDFC Large Cap Fund - Growth Option - Regular Plan,INF179K01BE2,334.02
2015-10-15,HSBC Large Cap Fund - Regular Growth,INF336L01016,145.7519
2015-10-15,JM Large Cap Fund (Regular) - Growth Option,INF192K01601,54.099
2015-10-15,L&T India Large Cap Fund - Regular Plan - Growth,INF677K01155,20.509
2015-10-15,LIC MF Large Cap Fund-Regular Plan-Growth,INF767K01105,20.3107
2015-10-15,SBI Large Cap FUND-REGULAR PLAN GROWTH,INF200K01180,28.2524
2015-10-15,Tata Large Cap Fund -Regular Plan - Growth Option,INF277K01931,163.3132
2015-10-15,Taurus Large Cap Fund - Regular Plan - Growth,INF044D01773,62.53
2015-10-15,UTI Large Cap Fund - Regular Plan - Growth Option,INF789F01976,89.3545
2015-10-16,Axis Large Cap Fund - Regular Plan - Growth,INF846K01164,19.24
2015-10-16,BANDHAN Large Cap Fund - Regular Plan - Growth,INF194K01516,23.4156
2015-10-16,CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - GROWTH OPTION,INF760K01AR3,17.52
2015-10-16,DSP Large Cap Fund - Regular Plan - Growth,INF740K01243,155.344
2015-10-16,Edelweiss Large Cap Fund - Regular Plan - Growth Option,INF754K01046,25.32
2015-10-16,HDFC Large Cap Fund - Growth Option - Regular Plan,INF179K01BE2,337.458
2015-10-16,HSBC Large Cap Fund - Regular Growth,INF336L01016,146.6097
2015-10-16,JM Large Cap Fund (Regular) - Growth Option,INF192K01601,54.5706
2015-10-16,L&T India Large Cap Fund - Regular Plan - Growth,INF677K01155,20.625
2015-10-16,LIC MF Large Cap Fund-Regular Plan-Growth,INF767K01105,20.4389
2015-10-16,SBI Large Cap FUND-REGULAR PLAN GROWTH,INF200K01180,28.3932
2015-10-16,Tata Large Cap Fund -Regular Plan - Growth Option,INF277K01931,164.6087
2015-10-16,Taurus Large Cap Fund - Regular Plan - Growth,INF044D01773,62.74
2015-10-16,UTI Large Cap Fund - Regular Plan - Growth Option,INF789F01976,89.8874
2015-10-19,Axis Large Cap Fund - Regular Plan - Growth,INF846K01164,19.37
2015-10-19,BANDHAN Large Cap Fund - Regular Plan - Growth,INF194K01516,23.5224
2015-10-19,CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - GROWTH OPTION,INF760K01AR3,17.58
2015-10-19,DSP Large Cap Fund - Regular Plan - Growth,INF740K01243,155.971
2015-10-19,Edelweiss Large Cap Fund - Regular Plan - Growth Option,INF754K01046,25.54
2015-10-19,HDFC Large Cap Fund - Growth Option - Regular Plan,INF179K01BE2,338.284
