Date,Scheme Name,ISIN,NAV
2022-09-30,HDFC Large Cap Fund - Growth Option - Regular Plan,INF179K01BE2,701.322
2022-09-30,HSBC Large Cap Fund - Regular Growth,INF336L01016,308.9026
2022-09-30,ITI Large Cap Fund - Regular Plan - Growth Option,INF00XX01770,11.5713
2022-09-30,JM Large Cap Fund (Regular) - Growth Option,INF192K01601,97.4954
2022-09-30,L&T India Large Cap Fund - Regular Plan - Growth,INF677K01155,40.237
2022-09-30,LIC MF Large Cap Fund-Regular Plan-Growth,INF767K01105,39.279
2022-09-30,Mahindra Manulife Large Cap Fund - Regular Plan - Growth,INF174V01697,15.3465
2022-09-30,quant Large Cap Fund - Growth Option - Regular Plan,INF966L01AW4,9.8528
2022-09-30,SBI Large Cap FUND-REGULAR PLAN GROWTH,INF200K01180,60.6706
2022-09-30,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth,INF903JA1IZ3,14.5757
2022-09-30,Tata Large Cap Fund -Regular Plan - Growth Option,INF277K01931,324.2216
2022-09-30,Taurus Large Cap Fund - Regular Plan - Growth,INF044D01773,106.89
2022-09-30,UTI Large Cap Fund - Regular Plan - Growth Option,INF789F01976,190.118
2022-10-03,Axis Large Cap Fund - Regular Plan - Growth,INF846K01164,42.81
2022-10-03,BANDHAN Large Cap Fund - Regular Plan - Growth,INF194K01516,47.91
2022-10-03,BANK OF INDIA Large Cap Fund Regular Plan Growth,INF761K01FO7,10.31
2022-10-03,BARODA BNP PARIBAS LARGE CAP Fund- Regular Plan - Growth Option,INF251K01894,136.3751
2022-10-03,CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - GROWTH OPTION,INF760K01AR3,39.83
2022-10-03,DSP Large Cap Fund - Regular Plan - Growth,INF740K01243,281.267
2022-10-03,Edelweiss Large Cap Fund - Regular Plan - Growth Option,INF754K01046,52.89
2022-10-03,HDFC Large Cap Fund - Growth Option - Regular Plan,INF179K01BE2,695.931
2022-10-03,HSBC Large Cap Fund - Regular Growth,INF336L01016,304.7088
2022-10-03,ITI Large Cap Fund - Regular Plan - Growth Option,INF00XX01770,11.4222
2022-10-03,JM Large Cap Fund (Regular) - Growth Option,INF192K01601,95.9955
2022-10-03,L&T India Large Cap Fund - Regular Plan - Growth,INF677K01155,39.633
2022-10-03,LIC MF Large Cap Fund-Regular Plan-Growth,INF767K01105,38.8136
2022-10-03,Mahindra Manulife Large Cap Fund - Regular Plan - Growth,INF174V01697,15.1172
2022-10-03,quant Large Cap Fund - Growth Option - Regular Plan,INF966L01AW4,9.6393
2022-10-03,SBI Large Cap FUND-REGULAR PLAN GROWTH,INF200K01180,59.9661
2022-10-03,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth,INF903JA1IZ3,14.4233
2022-10-03,Tata Large Cap Fund -Regular Plan - Growth Option,INF277K01931,320.4833
2022-10-03,Taurus Large Cap Fund - Regular Plan - Growth,INF044D01773,104.86
2022-10-03,UTI Large Cap Fund - Regular Plan - Growth Option,INF789F01976,187.8758
2022-10-04,Axis Large Cap Fund - Regular Plan - Growth,INF846K01164,43.67
2022-10-04,BANDHAN Large Cap Fund - Regular Plan - Growth,INF194K01516,48.958
2022-10-04,BANK OF INDIA Large Cap Fund Regular Plan Growth,INF761K01FO7,10.53
2022-10-04,BARODA BNP PARIBAS LARGE CAP Fund- Regular Plan - Growth Option,INF251K01894,139.3296
2022-10-04,CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - GROWTH OPTION,INF760K01AR3,40.69
2022-10-04,DSP Large Cap Fund - Regular Plan - Growth,INF740K01243,286.57
2022-10-04,Edelweiss Large Cap Fund - Regular Plan - Growth Option,INF754K01046,54.05
2022-10-04,HDFC Large Cap Fund - Growth Option - Regular Plan,INF179K01BE2,710.946
2022-10-04,HSBC Large Cap Fund - Regular Growth,INF336L01016,311.3133
2022-10-04,ITI Large Cap Fund - Regular Plan - Growth Option,INF00XX01770,11.6615
2022-10-04,JM Large Cap Fund (Regular) - Growth Option,INF192K01601,97.801
2022-10-04,L&T India Large Cap Fund - Regular Plan - Growth,INF677K01155,40.513
2022-10-04,LIC MF Large Cap Fund-Regular Plan-Growth,INF767K01105,39.5735
2022-10-04,Mahindra Manulife Large Cap Fund - Regular Plan - Growth,INF174V01697,15.4336
2022-10-04,quant Large Cap Fund - Growth Option - Regular Plan,INF966L01AW4,9.8735
2022-10-04,SBI Large Cap FUND-REGULAR PLAN GROWTH,INF200K01180,61.2257
2022-10-04,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth,INF903JA1IZ3,14.7538
2022-10-04,Tata Large Cap Fund -Regular Plan - Growth Option,INF277K01931,327.0455
2022-10-04,Taurus Large Cap Fund - Regular Plan - Growth,INF044D01773,107.03
2022-10-04,UTI Large Cap Fund - Regular Plan - Growth Option,INF789F01976,191.4329
2022-10-06,Axis Large Cap Fund - Regular Plan - Growth,INF846K01164,43.69
2022-10-06,BANDHAN Large Cap Fund - Regular Plan - Growth,INF194K01516,49.098
2022-10-06,BANK OF INDIA Large Cap Fund Regular Plan Growth,INF761K01FO7,10.57
2022-10-06,BARODA BNP PARIBAS LARGE CAP Fund- Regular Plan - Growth Option,INF251K01894,139.9763
2022-10-06,CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - GROWTH OPTION,INF760K01AR3,40.86
2022-10-06,DSP Large Cap Fund - Regular Plan - Growth,INF740K01243,287.138
2022-10-06,Edelweiss Large Cap Fund - Regular Plan - Growth Option,INF754K01046,54.37
2022-10-06,HDFC Large Cap Fund - Growth Option - Regular Plan,INF179K01BE2,715.563
2022-10-06,HSBC Large Cap Fund - Regular Growth,INF336L01016,312.6993
